reason_id,source_work_id,target_work_id,reason_kind,entity_id,relation_id,transition_id,event_id,event_occurrence_id,source_continuity_id,destination_continuity_id,participant_fact_ids,support_fact_ids,appearance_kinds,verification_statuses,certainty_values,notes
reason-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-explicit-relation-work-relation-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-sequel,spider-man-into-the-spider-verse-2018,spider-man-across-the-spider-verse-2023,explicit_relation,,work-relation-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-sequel,,,,,,,work-relation-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-sequel,,source_verified,probable,sequel; story; direct
reason-spider-man-no-way-home-2021-daredevil-born-again-s1-2025-shared-entity-entity-x-97f9d29354,spider-man-no-way-home-2021,daredevil-born-again-s1-2025,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-daredevil-born-again-s1-2025-entity-x-97f9d29354|appearance-spider-man-no-way-home-2021-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-spider-man-no-way-home-2021-daredevil-born-again-s2-2026-shared-entity-entity-x-97f9d29354,spider-man-no-way-home-2021,daredevil-born-again-s2-2026,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-daredevil-born-again-s2-2026-entity-x-97f9d29354|appearance-spider-man-no-way-home-2021-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-explicit-relation-work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,spider-man-no-way-home-2021,doctor-strange-in-the-multiverse-of-madness-2022,explicit_relation,,work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,,,,,,,work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,,source_verified,confirmed,crossover; crossover; direct
reason-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-c8ead423cc,spider-man-no-way-home-2021,doctor-strange-in-the-multiverse-of-madness-2022,shared_entity,entity-x-c8ead423cc,,,,,,,,appearance-doctor-strange-in-the-multiverse-of-madness-2022-entity-x-c8ead423cc|appearance-spider-man-no-way-home-2021-entity-x-c8ead423cc,unknown,legacy_seed,unknown,
reason-spider-man-no-way-home-2021-echo-2024-shared-entity-entity-x-97f9d29354,spider-man-no-way-home-2021,echo-2024,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-echo-2024-entity-x-97f9d29354|appearance-spider-man-no-way-home-2021-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-spider-man-no-way-home-2021-morbius-2022-explicit-relation-work-relation-spider-man-no-way-home-2021-morbius-2022-crossover,spider-man-no-way-home-2021,morbius-2022,explicit_relation,,work-relation-spider-man-no-way-home-2021-morbius-2022-crossover,,,,,,,work-relation-spider-man-no-way-home-2021-morbius-2022-crossover,,source_verified,confirmed,crossover; crossover; direct
reason-spider-man-no-way-home-2021-she-hulk-attorney-at-law-2022-shared-entity-entity-x-97f9d29354,spider-man-no-way-home-2021,she-hulk-attorney-at-law-2022,shared_entity,entity-x-97f9d29354,,,,,,,,appearance-she-hulk-attorney-at-law-2022-entity-x-97f9d29354|appearance-spider-man-no-way-home-2021-entity-x-97f9d29354,unknown,legacy_seed,unknown,
reason-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-explicit-relation-work-relation-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-story-link,spider-man-no-way-home-2021,spider-man-brand-new-day-2026-07-31,explicit_relation,,work-relation-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-story-link,,,,,,,work-relation-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-story-link,,source_verified,confirmed,story_link; story; direct
reason-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,spider-man-no-way-home-2021,spider-man-brand-new-day-2026-07-31,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-brand-new-day-2026-07-31-entity-mcu|appearance-spider-man-no-way-home-2021-entity-mcu,unknown,legacy_seed,unknown,
reason-the-amazing-spider-man-2-2014-spider-man-no-way-home-2021-multiverse-transition-event-nwh-webb-peter-arrival-event-occurrence-nwh-webb-peter-arrival,the-amazing-spider-man-2-2014,spider-man-no-way-home-2021,multiverse_transition,,,event-nwh-webb-peter-arrival,event-nwh-webb-peter-arrival,event-occurrence-nwh-webb-peter-arrival,continuity-spider-man-amazing,continuity-earth-616,transition-participant-nwh-webb-peter,event-nwh-webb-peter-arrival|event-occurrence-nwh-webb-peter-arrival|transition-participant-nwh-webb-peter|work-continuity-the-amazing-spider-man-2-2014-continuity-spider-man-amazing,,legacy_seed|source_verified,confirmed|unknown,spell_displacement; source=continuity-spider-man-amazing; destination=continuity-earth-616; occurrence=event-occurrence-nwh-webb-peter-arrival; No Way Home depicts Andrew Garfield's returning Peter Parker alongside the other Peter Parkers after the multiverse disruption; this occurrence records the arrival in the containing work.
reason-the-amazing-spider-man-2-2014-spider-man-no-way-home-2021-shared-entity-entity-x-f8b1d323de,the-amazing-spider-man-2-2014,spider-man-no-way-home-2021,shared_entity,entity-x-f8b1d323de,,,,,,,,appearance-spider-man-no-way-home-2021-entity-x-f8b1d323de|appearance-the-amazing-spider-man-2-2014-entity-x-f8b1d323de,unknown,legacy_seed,unknown,
reason-the-amazing-spider-man-2012-spider-man-no-way-home-2021-shared-entity-entity-x-f8b1d323de,the-amazing-spider-man-2012,spider-man-no-way-home-2021,shared_entity,entity-x-f8b1d323de,,,,,,,,appearance-spider-man-no-way-home-2021-entity-x-f8b1d323de|appearance-the-amazing-spider-man-2012-entity-x-f8b1d323de,unknown,legacy_seed,unknown,
reason-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-explicit-relation-work-relation-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-sequel,the-amazing-spider-man-2012,the-amazing-spider-man-2-2014,explicit_relation,,work-relation-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-sequel,,,,,,,work-relation-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-shared-entity-entity-x-f8b1d323de,the-amazing-spider-man-2012,the-amazing-spider-man-2-2014,shared_entity,entity-x-f8b1d323de,,,,,,,,appearance-the-amazing-spider-man-2-2014-entity-x-f8b1d323de|appearance-the-amazing-spider-man-2012-entity-x-f8b1d323de,unknown,legacy_seed,unknown,
