edge_id,source_work_id,target_work_id,reason_ids,reason_count
edge-captain-america-civil-war-2016-avengers-endgame-2019,captain-america-civil-war-2016,avengers-endgame-2019,reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-mcu|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-42251c0735|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-5a2ee964f0|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-605a05a114|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-927d19aa0b|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-bd73e23ab5|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-f2dcf7c7cc|reason-captain-america-civil-war-2016-avengers-endgame-2019-shared-entity-entity-x-fd344cdc17,8
edge-captain-america-civil-war-2016-avengers-infinity-war-2018,captain-america-civil-war-2016,avengers-infinity-war-2018,reason-captain-america-civil-war-2016-avengers-infinity-war-2018-explicit-relation-work-relation-captain-america-civil-war-2016-avengers-infinity-war-2018-crossover|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-mcu|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-42251c0735|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-5a2ee964f0|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-5d8d873f91|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-927d19aa0b|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-bd73e23ab5|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-f2dcf7c7cc|reason-captain-america-civil-war-2016-avengers-infinity-war-2018-shared-entity-entity-x-fd344cdc17,9
edge-captain-america-civil-war-2016-black-panther-2018,captain-america-civil-war-2016,black-panther-2018,reason-captain-america-civil-war-2016-black-panther-2018-explicit-relation-work-relation-captain-america-civil-war-2016-black-panther-2018-story-link,1
edge-captain-america-civil-war-2016-black-widow-2021,captain-america-civil-war-2016,black-widow-2021,reason-captain-america-civil-war-2016-black-widow-2021-explicit-relation-work-relation-captain-america-civil-war-2016-black-widow-2021-aftermath|reason-captain-america-civil-war-2016-black-widow-2021-shared-entity-entity-x-927d19aa0b,2
edge-captain-america-civil-war-2016-captain-america-brave-new-world-2025,captain-america-civil-war-2016,captain-america-brave-new-world-2025,reason-captain-america-civil-war-2016-captain-america-brave-new-world-2025-shared-entity-entity-x-fd344cdc17,1
edge-captain-america-civil-war-2016-doctor-strange-in-the-multiverse-of-madness-2022,captain-america-civil-war-2016,doctor-strange-in-the-multiverse-of-madness-2022,reason-captain-america-civil-war-2016-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-42251c0735,1
edge-captain-america-civil-war-2016-hawkeye-2021,captain-america-civil-war-2016,hawkeye-2021,reason-captain-america-civil-war-2016-hawkeye-2021-shared-entity-entity-x-605a05a114,1
edge-captain-america-civil-war-2016-spider-man-brand-new-day-2026-07-31,captain-america-civil-war-2016,spider-man-brand-new-day-2026-07-31,reason-captain-america-civil-war-2016-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,1
edge-captain-america-civil-war-2016-spider-man-far-from-home-2019,captain-america-civil-war-2016,spider-man-far-from-home-2019,reason-captain-america-civil-war-2016-spider-man-far-from-home-2019-shared-entity-entity-mcu,1
edge-captain-america-civil-war-2016-spider-man-homecoming-2017,captain-america-civil-war-2016,spider-man-homecoming-2017,reason-captain-america-civil-war-2016-spider-man-homecoming-2017-explicit-relation-work-relation-captain-america-civil-war-2016-spider-man-homecoming-2017-story-link|reason-captain-america-civil-war-2016-spider-man-homecoming-2017-shared-entity-entity-mcu|reason-captain-america-civil-war-2016-spider-man-homecoming-2017-shared-entity-entity-x-5a2ee964f0,3
edge-captain-america-civil-war-2016-spider-man-no-way-home-2021,captain-america-civil-war-2016,spider-man-no-way-home-2021,reason-captain-america-civil-war-2016-spider-man-no-way-home-2021-shared-entity-entity-mcu,1
edge-captain-america-civil-war-2016-the-falcon-and-the-winter-soldier-2021,captain-america-civil-war-2016,the-falcon-and-the-winter-soldier-2021,reason-captain-america-civil-war-2016-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-bd73e23ab5|reason-captain-america-civil-war-2016-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-fd344cdc17,2
edge-captain-america-civil-war-2016-thunderbolts-new-avengers-2025,captain-america-civil-war-2016,thunderbolts-new-avengers-2025,reason-captain-america-civil-war-2016-thunderbolts-new-avengers-2025-shared-entity-entity-x-bd73e23ab5,1
edge-captain-america-civil-war-2016-visionquest-2026-10-14,captain-america-civil-war-2016,visionquest-2026-10-14,reason-captain-america-civil-war-2016-visionquest-2026-10-14-shared-entity-entity-x-5d8d873f91,1
edge-captain-america-civil-war-2016-wandavision-2021,captain-america-civil-war-2016,wandavision-2021,reason-captain-america-civil-war-2016-wandavision-2021-explicit-relation-work-relation-captain-america-civil-war-2016-wandavision-2021-world-lore|reason-captain-america-civil-war-2016-wandavision-2021-shared-entity-entity-x-42251c0735|reason-captain-america-civil-war-2016-wandavision-2021-shared-entity-entity-x-5d8d873f91,3
